Publication Title,Publication Year,CTA,Stakeholders,Query,Title,URL,Snippet,Source Date
Heritable Human Genome Editing,2023,"Recommendation 3: It is not possible to define a responsible translational
pathway applicable across all possible uses of heritable human genome editing
(HHGE) because the uses, circumstances, and considerations differ widely, as do
the advances in fundamental knowledge that would be needed before different
types of uses could be considered feasible.
Clinical use of HHGE should proceed incrementally. At all times, there should
be clear thresholds on permitted uses, based on whether a responsible trans-
lational pathway can be and has been clearly defined for evaluating the safety
and efficacy of the use, and whether a country has decided to permit the use.","Patients and patient advocacy groups
   Researchers and scientists in genetics, genomics, and related fields
   Bioethicists and legal experts
   Healthcare providers and medical professionals
   Government regulatory agencies (e.g., FDA in the US)
   International organizations (e.g., WHO)
   Pharmaceutical and biotechnology companies
   Policymakers and legislators
   General public",site:nih.gov heritable human genome editing clinical use translational pathway safety efficacy,Summary - Heritable Human Genome Editing - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/n/nap25665/sum1/?report=reader,"... clinical use of heritable human genome editing (HHGE). ... A TRANSLATIONAL PATHWAY FOR HERITABLE HUMAN GENOME EDITING ... safety, efficacy, long-term ...",
Heritable Human Genome Editing,2023,"Recommendation 3: It is not possible to define a responsible translational
pathway applicable across all possible uses of heritable human genome editing
(HHGE) because the uses, circumstances, and considerations differ widely, as do
the advances in fundamental knowledge that would be needed before different
types of uses could be considered feasible.
Clinical use of HHGE should proceed incrementally. At all times, there should
be clear thresholds on permitted uses, based on whether a responsible trans-
lational pathway can be and has been clearly defined for evaluating the safety
and efficacy of the use, and whether a country has decided to permit the use.","Patients and patient advocacy groups
   Researchers and scientists in genetics, genomics, and related fields
   Bioethicists and legal experts
   Healthcare providers and medical professionals
   Government regulatory agencies (e.g., FDA in the US)
   International organizations (e.g., WHO)
   Pharmaceutical and biotechnology companies
   Policymakers and legislators
   General public",site:nih.gov heritable human genome editing clinical use translational pathway safety efficacy,National and International Governance of Heritable Human Genome ...,https://www.ncbi.nlm.nih.gov/sites/books/n/nap25665/ch5/,"... safety, efficacy, and societal ... The pursuit of a translational pathway toward the clinical use ... clinical use of heritable human genome editing (HHGE).",
Heritable Human Genome Editing,2023,"Recommendation 3: It is not possible to define a responsible translational
pathway applicable across all possible uses of heritable human genome editing
(HHGE) because the uses, circumstances, and considerations differ widely, as do
the advances in fundamental knowledge that would be needed before different
types of uses could be considered feasible.
Clinical use of HHGE should proceed incrementally. At all times, there should
be clear thresholds on permitted uses, based on whether a responsible trans-
lational pathway can be and has been clearly defined for evaluating the safety
and efficacy of the use, and whether a country has decided to permit the use.","Patients and patient advocacy groups
   Researchers and scientists in genetics, genomics, and related fields
   Bioethicists and legal experts
   Healthcare providers and medical professionals
   Government regulatory agencies (e.g., FDA in the US)
   International organizations (e.g., WHO)
   Pharmaceutical and biotechnology companies
   Policymakers and legislators
   General public",site:nih.gov heritable human genome editing clinical use translational pathway safety efficacy,Reactions to the National Academies/Royal Society Report on ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC8935482/,"In September 2020, a detailed report on Heritable Human Genome Editing was published. The report offers a translational pathway for the limited approval of ...",
Heritable Human Genome Editing,2023,"Recommendation 3: It is not possible to define a responsible translational
pathway applicable across all possible uses of heritable human genome editing
(HHGE) because the uses, circumstances, and considerations differ widely, as do
the advances in fundamental knowledge that would be needed before different
types of uses could be considered feasible.
Clinical use of HHGE should proceed incrementally. At all times, there should
be clear thresholds on permitted uses, based on whether a responsible trans-
lational pathway can be and has been clearly defined for evaluating the safety
and efficacy of the use, and whether a country has decided to permit the use.","Patients and patient advocacy groups
   Researchers and scientists in genetics, genomics, and related fields
   Bioethicists and legal experts
   Healthcare providers and medical professionals
   Government regulatory agencies (e.g., FDA in the US)
   International organizations (e.g., WHO)
   Pharmaceutical and biotechnology companies
   Policymakers and legislators
   General public",site:nih.gov heritable human genome editing clinical use translational pathway safety efficacy,GENE EDITING: HOW CAN YOU ASK 'WHETHER' IF YOU DON'T ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC8260147/,"Jul 6, 2021 ... Only with some model of a responsible translational pathway and ethical clinical use ... Heritable Human Genome Editing, CRISPR Journal 3, no.",
Heritable Human Genome Editing,2023,"Recommendation 3: It is not possible to define a responsible translational
pathway applicable across all possible uses of heritable human genome editing
(HHGE) because the uses, circumstances, and considerations differ widely, as do
the advances in fundamental knowledge that would be needed before different
types of uses could be considered feasible.
Clinical use of HHGE should proceed incrementally. At all times, there should
be clear thresholds on permitted uses, based on whether a responsible trans-
lational pathway can be and has been clearly defined for evaluating the safety
and efficacy of the use, and whether a country has decided to permit the use.","Patients and patient advocacy groups
   Researchers and scientists in genetics, genomics, and related fields
   Bioethicists and legal experts
   Healthcare providers and medical professionals
   Government regulatory agencies (e.g., FDA in the US)
   International organizations (e.g., WHO)
   Pharmaceutical and biotechnology companies
   Policymakers and legislators
   General public",site:nih.gov heritable human genome editing clinical use translational pathway safety efficacy,Points to consider in the development of national human genome ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC10953736/,... heritable human genome editing may be shown to be safe and effective and (5) ... translational pathway due to the wide and variable possible applications of ...,
Heritable Human Genome Editing,2023,"Recommendation 4: Initial uses of heritable human genome editing (HHGE), should a country decide to permit them, should be limited to circumstances that meet all of the following criteria: ... [criteria as listed above]","Patients and families with serious monogenic diseases: Directly impacted by potential availability or limitations of HHGE.
   Researchers and scientists: Conducting research on genome editing and related technologies.
   Clinicians and healthcare providers: Providing care and counseling to patients.
   Bioethicists and legal experts: Analyzing the ethical and legal implications of HHGE.
   Policymakers and government regulators: Developing and implementing regulations regarding HHGE.
   General public: As taxpayers and members of society who may be affected by the broader implications of HHGE.
   International organizations (WHO): Setting guidelines and recommendations for HHGE.
   Pharmaceutical and biotechnology companies: Developing and commercializing HHGE therapies.",site:nih.gov genome editing germline regulation OR policy,Oversight of Human Genome Editing and Overarching Principles for ...,https://www.ncbi.nlm.nih.gov/books/NBK447266/,REGULATION OF GENE THERAPY IN THE UNITED STATES. Both somatic and germline human genome editing would be regulated in the United States within the framework ...,
Heritable Human Genome Editing,2023,"Recommendation 4: Initial uses of heritable human genome editing (HHGE), should a country decide to permit them, should be limited to circumstances that meet all of the following criteria: ... [criteria as listed above]","Patients and families with serious monogenic diseases: Directly impacted by potential availability or limitations of HHGE.
   Researchers and scientists: Conducting research on genome editing and related technologies.
   Clinicians and healthcare providers: Providing care and counseling to patients.
   Bioethicists and legal experts: Analyzing the ethical and legal implications of HHGE.
   Policymakers and government regulators: Developing and implementing regulations regarding HHGE.
   General public: As taxpayers and members of society who may be affected by the broader implications of HHGE.
   International organizations (WHO): Setting guidelines and recommendations for HHGE.
   Pharmaceutical and biotechnology companies: Developing and commercializing HHGE therapies.",site:nih.gov genome editing germline regulation OR policy,Human Germline Genome Editing,https://pubmed.ncbi.nlm.nih.gov/28777929/,"Aug 3, 2017 ... Keywords: CRISPR; ethics; eugenics; gene editing; gene therapy; genetics policy; genome editing; germline; human genome; society. Copyright ...",
Heritable Human Genome Editing,2023,"Recommendation 4: Initial uses of heritable human genome editing (HHGE), should a country decide to permit them, should be limited to circumstances that meet all of the following criteria: ... [criteria as listed above]","Patients and families with serious monogenic diseases: Directly impacted by potential availability or limitations of HHGE.
   Researchers and scientists: Conducting research on genome editing and related technologies.
   Clinicians and healthcare providers: Providing care and counseling to patients.
   Bioethicists and legal experts: Analyzing the ethical and legal implications of HHGE.
   Policymakers and government regulators: Developing and implementing regulations regarding HHGE.
   General public: As taxpayers and members of society who may be affected by the broader implications of HHGE.
   International organizations (WHO): Setting guidelines and recommendations for HHGE.
   Pharmaceutical and biotechnology companies: Developing and commercializing HHGE therapies.",site:nih.gov genome editing germline regulation OR policy,Human Germ Line and Heritable Genome Editing: The Global Policy ...,https://pubmed.ncbi.nlm.nih.gov/33095042/,Discussions and debates about the governance of human germline and heritable genome editing ... Human Germ Line and Heritable Genome Editing: The Global Policy ...,
Heritable Human Genome Editing,2023,"Recommendation 4: Initial uses of heritable human genome editing (HHGE), should a country decide to permit them, should be limited to circumstances that meet all of the following criteria: ... [criteria as listed above]","Patients and families with serious monogenic diseases: Directly impacted by potential availability or limitations of HHGE.
   Researchers and scientists: Conducting research on genome editing and related technologies.
   Clinicians and healthcare providers: Providing care and counseling to patients.
   Bioethicists and legal experts: Analyzing the ethical and legal implications of HHGE.
   Policymakers and government regulators: Developing and implementing regulations regarding HHGE.
   General public: As taxpayers and members of society who may be affected by the broader implications of HHGE.
   International organizations (WHO): Setting guidelines and recommendations for HHGE.
   Pharmaceutical and biotechnology companies: Developing and commercializing HHGE therapies.",site:nih.gov genome editing germline regulation OR policy,Human Germline Genome Editing - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC5544380/,"Jan 26, 2017 ... With CRISPR/Cas9 and other genome-editing technologies, successful somatic and germline genome editing are becoming feasible ... policy ...",
Heritable Human Genome Editing,2023,"Recommendation 4: Initial uses of heritable human genome editing (HHGE), should a country decide to permit them, should be limited to circumstances that meet all of the following criteria: ... [criteria as listed above]","Patients and families with serious monogenic diseases: Directly impacted by potential availability or limitations of HHGE.
   Researchers and scientists: Conducting research on genome editing and related technologies.
   Clinicians and healthcare providers: Providing care and counseling to patients.
   Bioethicists and legal experts: Analyzing the ethical and legal implications of HHGE.
   Policymakers and government regulators: Developing and implementing regulations regarding HHGE.
   General public: As taxpayers and members of society who may be affected by the broader implications of HHGE.
   International organizations (WHO): Setting guidelines and recommendations for HHGE.
   Pharmaceutical and biotechnology companies: Developing and commercializing HHGE therapies.",site:nih.gov genome editing germline regulation OR policy,Responsible governance of human germline genome editing in ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC9310509/,"... policy efforts in this field, and has gradually moved toward the ... regulation of germline genome editing [19]. Human germline genome editing ...",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:pubmed.ncbi.nlm.nih.gov artificial gametes heritable disease treatment,Artificial gametes from stem cells,https://pubmed.ncbi.nlm.nih.gov/26161331/,"Jun 30, 2015 ... ... inherited disorders. However, the great promise of artificial ... Keywords: Artificial gametes; Cell-based therapy; Gametogenesis ...",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:pubmed.ncbi.nlm.nih.gov artificial gametes heritable disease treatment,Female subfertility,https://pubmed.ncbi.nlm.nih.gov/30679436/,"Jan 24, 2019 ... Developments in the diagnosis and treatment of ... artificial gametes, genetic screening of embryos and gene editing of embryos.",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:pubmed.ncbi.nlm.nih.gov artificial gametes heritable disease treatment,Fertility issues in survivors from adolescent cancers,https://pubmed.ncbi.nlm.nih.gov/17499440/,"There is no increased incidence of genetic disease or cancer incidence in the offspring of cancer survivors. ... artificial gametes in the laboratory. Finally, ...",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:hhs.gov in vitro gametes genome editing assisted reproductive technology approval,International Compilation of Human Research Standards 2021 ...,https://www.hhs.gov/sites/default/files/ohrp-international-compilation-2021-europe.pdf,"▫ Statement on Genome Editing Technologies by the Committee on ... ▫ Portuguese Law on Assisted Reproductive Technologies, Articles 7 and 9 (2006).",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:hhs.gov in vitro gametes genome editing assisted reproductive technology approval,HIPAA Privacy Rule to Support Reproductive Health Care Privacy,https://www.hhs.gov/sites/default/files/hipaa-privacy-rule-support-reproductive-health-care-privacy.pdf,"treatment, including assisted reproductive technology and its components269 (e.g., in vitro fertilization (IVF)); diagnosis and treatment of conditions that ...",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:hhs.gov in vitro gametes genome editing assisted reproductive technology approval,International Compilation of Human Research Standards Europe,https://www.hhs.gov/sites/default/files/ohrp-international-compilation-europe-2024.pdf,"▫ Statement on Genome Editing Technologies by the Committee on ... ▫ Portuguese Law on Assisted Reproductive Technologies, Articles 7 and 9 (2006).",
Heritable Human Genome Editing,2023,"Recommendation 7: Research should continue into the development of methods to produce functional human gametes from cultured stem cells. The ability to generate large numbers of such stem cell–derived gametes would provide a further option for prospective parents to avoid the inheritance of disease through the effi­ cient production, testing, and selection of embryos without the disease- causing genotype. However, the use of such in vitro–derived gametes in reproductive medicine raises distinct medical, ethical, and societal issues that must be carefully evaluated, and such gametes without genome editing would need to be approved for use in assisted reproductive technology before they could be considered for clinical use of heritable human genome editing.","Researchers (stem cell biologists, reproductive endocrinologists, geneticists)
   Funding agencies (NIH, state-level research grants)
   Patients and prospective parents (especially those with inheritable diseases)
   Bioethicists and ethicists
   Regulatory bodies (FDA in the US, WHO internationally)
   Assisted Reproductive Technology (ART) clinics
   Pharmaceutical companies (developing related technologies)
   Legal scholars/lawmakers (addressing liability and legal issues)",site:hhs.gov in vitro gametes genome editing assisted reproductive technology approval,"International Compilation of Human Research Standards, 2024 Edition",https://www.hhs.gov/sites/default/files/ohrp-international-compilation-human-research-standards-2024.pdf,"Jun 20, 2024 ... ▫ NHMRC, Ethical Guidelines on the Use of Assisted Reproductive Technology in Clinical Practice ... ▫ Genome editing technology: https://www.",
